,Class,FX_u,FX_s,FX_m,FX_h,umag,gmag,rmag,zmag,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,3.6mag,4.5mag,5.8mag,8.0mag,Bmag,imag
46,AGN,2.61e-15,3.55e-15,5.37e-15,5.87e-15,20.08,20.053,19.967,19.538,9999999.0,9999999.0,9999999.0,16.219,14.934,11.637,9999999.0,9999999.0,9999999.0,9999999.0,19.17,19.581
47,AGN,1.34e-13,2.01e-13,1.98e-13,3.5e-13,18.055,17.552,16.99,16.334,15.202,14.425,13.631,12.598,11.781,8.503,9999999.0,9999999.0,9999999.0,9999999.0,16.32,16.468
48,AGN,6.48e-16,1.26e-15,9.75e-16,6.55e-15,20.602,20.312,20.056,19.571,9999999.0,9999999.0,9999999.0,15.694,14.823,11.822,9999999.0,9999999.0,9999999.0,9999999.0,20.72,19.757
49,AGN,1.06e-14,1.19e-14,1.91e-14,4.95e-14,21.147,20.908,20.549,20.106,9999999.0,9999999.0,9999999.0,16.395,15.452,12.513,9999999.0,9999999.0,9999999.0,9999999.0,20.86,20.242
50,AGN,6.25e-15,8.81e-15,1.09e-14,2.76e-14,9999999.0,9999999.0,20.08,9999999.0,9999999.0,9999999.0,9999999.0,17.215,15.836,12.272,9999999.0,9999999.0,9999999.0,9999999.0,20.63,19.39
51,AGN,5.38e-15,1.02e-14,2.3e-14,8.94e-14,9999999.0,9999999.0,19.34,9999999.0,9999999.0,9999999.0,9999999.0,15.172,14.431,12.424,9999999.0,9999999.0,9999999.0,9999999.0,20.13,18.82
52,AGN,7.78e-15,1.2e-14,1.28e-14,1.89e-14,9999999.0,9999999.0,19.92,9999999.0,9999999.0,9999999.0,9999999.0,15.634,14.699,11.585,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
53,AGN,1.32e-14,1.12e-14,1.26e-14,1.95e-14,9999999.0,9999999.0,19.54,9999999.0,9999999.0,9999999.0,9999999.0,15.423,14.576,12.158,9999999.0,9999999.0,9999999.0,9999999.0,19.31,18.59
54,AGN,5.18e-15,1.1e-14,1.38e-14,2.94e-14,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
55,AGN,1.08e-14,1.7e-14,1.69e-14,3.3e-14,9999999.0,9999999.0,19.83,9999999.0,9999999.0,9999999.0,9999999.0,15.219,14.604,11.646,9999999.0,9999999.0,9999999.0,9999999.0,20.04,19.23
